F_h,h
0.565808,-12701.1
0.566183,-12682.1
0.566558,-12663
0.566932,-12644
0.567307,-12625
0.567681,-12606
0.568056,-12587
0.56843,-12568
0.568805,-12549
0.569178,-12529.9
0.569552,-12510.9
0.569926,-12491.9
0.5703,-12472.9
0.570673,-12453.9
0.571046,-12434.9
0.57142,-12415.8
0.571793,-12396.8
0.572166,-12377.8
0.572539,-12358.8
0.572912,-12339.8
0.573285,-12320.8
0.573657,-12301.8
0.574029,-12282.7
0.574401,-12263.7
0.574774,-12244.7
0.575145,-12225.7
0.575517,-12206.7
0.575889,-12187.7
0.57626,-12168.6
0.576632,-12149.6
0.577003,-12130.6
0.577374,-12111.6
0.577746,-12092.6
0.578116,-12073.6
0.578487,-12054.5
